,City,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind,Country,Date
0,camuy,18.4838,-66.8449,84.13,68,100,5.01,PR,1624746130
1,iquique,-20.2208,-70.1431,60.84,80,98,7.72,CL,1624746130
2,havoysund,70.9963,24.6622,47.28,87,100,5.37,NO,1624746131
3,bundaberg,-24.85,152.35,55.69,94,90,9.22,AU,1624746131
4,tasiilaq,65.6145,-37.6368,50.16,62,2,7.72,GL,1624746132
5,rikitea,-23.1203,-134.9692,74.53,76,3,10.0,PF,1624746132
6,esperance,-33.8667,121.9,50.67,61,0,17.09,AU,1624746132
7,mount gambier,-37.8333,140.7667,44.51,100,75,2.3,AU,1624746133
8,bredasdorp,-34.5322,20.0403,49.32,81,100,1.14,ZA,1624746133
9,hilo,19.7297,-155.09,83.93,61,1,11.5,US,1624745835
10,avarua,-21.2078,-159.775,75.25,69,75,14.97,CK,1624746134
11,kampene,-3.6,26.6667,69.19,53,14,1.77,CD,1624746134
12,kodiak,57.79,-152.4072,53.11,82,90,8.05,US,1624746134
13,talnakh,69.4865,88.3972,47.39,65,99,5.68,RU,1624746135
14,mar del plata,-38.0023,-57.5575,53.01,75,90,17.0,AR,1624745990
15,aksarka,66.5606,67.7975,47.37,66,93,6.76,RU,1624746135
16,geraldton,-28.7667,114.6,46.81,71,0,19.57,AU,1624746136
17,wanning,18.8003,110.3967,81.52,89,100,8.88,CN,1624746136
18,berberati,4.2612,15.7922,68.65,92,18,2.68,CF,1624746136
19,lompoc,34.6391,-120.4579,91.22,71,1,18.41,US,1624746137
20,carnarvon,-24.8667,113.6333,46.47,58,89,10.36,AU,1624746137
21,hermanus,-34.4187,19.2345,54.9,76,80,10.25,ZA,1624746138
22,nikolskoye,59.7035,30.7861,66.09,91,8,4.03,RU,1624746138
23,atuona,-9.8,-139.0333,78.49,70,62,23.29,PF,1624746138
24,balykshi,47.0667,51.8667,80.6,34,0,6.71,KZ,1624746139
25,richards bay,-28.783,32.0377,62.13,68,2,1.66,ZA,1624746139
26,ostrovnoy,68.0531,39.5131,43.65,83,82,3.65,RU,1624746140
27,airai,-8.9266,125.4092,57.9,95,79,4.25,TL,1624746140
28,half moon bay,37.4636,-122.4286,93.74,69,75,1.01,US,1624746140
29,leningradskiy,69.3833,178.4167,51.84,48,96,2.04,RU,1624746141
30,dikson,73.5069,80.5464,32.67,84,20,2.21,RU,1624746141
31,yellowknife,62.456,-114.3525,79.32,34,75,23.02,CA,1624746142
32,punta arenas,-53.15,-70.9167,35.71,87,0,8.05,CL,1624746142
33,ercis,39.0287,43.3586,62.2,38,5,1.16,TR,1624746142
34,arraial do cabo,-22.9661,-42.0278,72.01,78,14,23.78,BR,1624746061
35,mamlyutka,54.9375,68.5394,62.89,74,100,6.67,KZ,1624746143
36,luderitz,-26.6481,15.1594,56.46,57,0,6.04,NA,1624745878
37,busselton,-33.65,115.3333,55.04,62,82,26.17,AU,1624746144
38,bonthe,7.5264,-12.505,77.74,83,91,4.18,SL,1624746144
39,tessalit,20.1986,1.0114,96.26,6,1,9.26,ML,1624746144
40,loikaw,19.6742,97.2094,68.74,94,99,1.63,MM,1624746145
41,poum,-20.2333,164.0167,74.66,76,76,15.68,NC,1624746145
42,westport,41.1415,-73.3579,82.27,81,1,1.99,US,1624746127
43,kapaa,22.0752,-159.319,84.52,72,1,3.0,US,1624746146
44,new norfolk,-42.7826,147.0587,48.92,79,82,5.37,AU,1624746146
45,nieuw amsterdam,5.8833,-55.0833,84.22,65,20,2.3,SR,1624746147
46,bargarh,21.3333,83.6167,83.12,73,66,3.94,IN,1624746147
47,puerto ayora,-0.7393,-90.3518,80.56,88,53,7.0,EC,1624746147
48,saint-philippe,-21.3585,55.7679,71.15,79,17,7.25,RE,1624746148
49,batemans bay,-35.7167,150.1833,46.9,78,0,5.97,AU,1624746148
50,san francisco,37.7749,-122.4194,98.56,72,20,3.0,US,1624746148
51,cape town,-33.9258,18.4232,57.88,73,40,3.0,ZA,1624745884
52,cabra,37.4725,-4.4421,78.91,59,0,6.08,ES,1624746149
53,bluff,-46.6,168.3333,45.81,89,99,9.24,NZ,1624746149
54,homer,59.6425,-151.5483,59.81,60,90,5.75,US,1624746150
55,santa cruz cabralia,-16.2781,-39.0247,73.63,60,20,4.61,BR,1624746150
56,tura,25.5198,90.2201,73.45,98,95,5.21,IN,1624746150
57,codrington,-38.2667,141.9667,51.85,85,69,6.71,AU,1624746151
58,souillac,-20.5167,57.5167,73.78,83,75,9.22,MU,1624746151
59,albany,42.6001,-73.9662,83.62,68,100,9.33,US,1624745856
60,pacific grove,36.6177,-121.9166,95.61,78,20,3.0,US,1624745859
61,basco,20.4487,121.9702,83.89,82,98,19.93,PH,1624746152
62,marzuq,14.4,46.4667,77.68,40,36,4.68,YE,1624746153
63,butaritari,3.0707,172.7902,82.51,76,100,13.22,KI,1624746153
64,port alfred,-33.5906,26.891,55.92,76,62,13.38,ZA,1624746153
65,pitimbu,-7.4706,-34.8086,75.79,72,78,16.02,BR,1624746154
66,upernavik,72.7868,-56.1549,37.67,97,100,14.36,GL,1624746154
67,kimbe,-5.5502,150.1429,78.21,86,96,2.37,PG,1624746155
68,barrow,71.2906,-156.7887,51.82,76,40,16.11,US,1624746069
69,mataura,-46.1927,168.8643,45.48,93,100,2.46,NZ,1624746155
70,ilulissat,69.2167,-51.1,46.42,71,75,5.75,GL,1624746156
71,karratha,-20.7377,116.8463,64.56,49,100,6.67,AU,1624746156
72,saskylakh,71.9167,114.0833,45.88,56,80,7.23,RU,1624746156
73,kismayo,-0.3582,42.5454,76.6,81,95,13.38,SO,1624746157
74,hope,33.6671,-93.5916,91.45,53,70,5.39,US,1624746157
75,ushuaia,-54.8,-68.3,38.86,81,0,3.44,AR,1624746158
76,boyolangu,-8.1181,111.8935,74.16,94,73,0.89,ID,1624746158
77,labuhan,-6.8844,112.2051,77.14,88,80,5.19,ID,1624746159
78,cantapoy,9.4906,125.4364,79.12,81,100,1.86,PH,1624746159
79,marsa matruh,31.3525,27.2453,77.2,78,0,5.75,EG,1624746159
80,kashi,39.4547,75.9797,80.26,11,0,8.95,CN,1624746160
81,visby,57.6409,18.296,62.82,94,20,3.44,SE,1624745875
82,san lorenzo,-25.3333,-57.5333,61.74,82,90,18.01,PY,1624746160
83,tiarei,-17.5333,-149.3333,84.22,75,2,5.19,PF,1624746161
84,saint george,37.1041,-113.5841,102.67,14,1,3.0,US,1624746100
85,georgetown,5.4112,100.3354,79.9,92,20,3.44,MY,1624746063
86,nanortalik,60.1432,-45.2371,48.13,85,97,3.91,GL,1624746161
87,imeni poliny osipenko,52.4201,136.4853,57.45,88,34,2.39,RU,1624746162
88,ribeira grande,38.5167,-28.7,68.04,78,21,11.27,PT,1624746162
89,dingle,10.9995,122.6711,76.55,89,100,4.23,PH,1624746163
90,madison,34.7334,-86.5667,87.15,70,75,1.01,US,1624746075
91,torbay,47.6666,-52.7314,66.76,65,75,16.11,CA,1624746163
92,karangasem,-8.45,115.6167,77.88,89,96,2.73,ID,1624746164
93,saint-paul,-21.0096,55.2707,71.69,91,0,1.99,RE,1624746164
94,klaksvik,62.2266,-6.589,47.32,83,1,9.06,FO,1624746164
95,ponta do sol,32.6667,-17.1,70.0,74,14,3.13,PT,1624746165
96,hobart,-42.8794,147.3294,49.26,75,40,5.75,AU,1624746141
97,henderson,36.0397,-114.9819,110.75,10,1,8.05,US,1624746165
98,ternate,0.8,127.4,79.83,80,100,6.31,ID,1624746166
99,sisimiut,66.9395,-53.6735,43.97,84,100,5.55,GL,1624746166
100,bereda,43.2686,-7.5406,57.15,100,100,2.46,ES,1624746166
101,hithadhoo,-0.6,73.0833,82.69,72,100,12.26,MV,1624746167
102,faanui,-16.4833,-151.75,79.74,78,4,6.82,PF,1624746167
103,kloulklubed,7.0419,134.2556,83.43,73,100,8.97,PW,1624746167
104,luanda,-8.8368,13.2343,75.2,83,40,4.61,AO,1624746117
105,chuy,-33.6971,-53.4616,55.9,96,100,3.42,UY,1624746168
106,abrau-dyurso,44.69,37.59,67.46,92,86,7.4,RU,1624746168
107,rehnan,32.6846,51.6013,72.91,15,0,5.55,IR,1624745953
108,besuki,-7.7338,113.6979,77.56,83,94,2.46,ID,1624746169
109,bilibino,68.0546,166.4372,67.26,31,100,1.28,RU,1624746169
110,iralaya,15.0,-83.2333,80.69,71,10,8.5,HN,1624746170
111,lavrentiya,65.5833,-171.0,44.13,88,100,8.03,RU,1624746170
112,alugan,12.2188,125.4808,81.05,79,100,4.27,PH,1624746171
113,saint-augustin,51.226,-58.6502,59.9,90,99,16.51,CA,1624746171
114,port elizabeth,-33.918,25.5701,57.49,77,0,11.5,ZA,1624746171
115,kaili,-3.4626,120.2147,64.8,96,85,2.98,ID,1624746172
116,pevek,69.7008,170.3133,42.71,59,100,10.11,RU,1624746172
117,galesong,-5.3166,119.3661,75.22,89,100,5.59,ID,1624746172
118,jamestown,42.097,-79.2353,84.09,64,75,7.0,US,1624746173
119,bengkulu,-3.8004,102.2655,74.28,90,33,4.23,ID,1624746173
120,kalmar,56.6616,16.3616,60.96,100,75,4.61,SE,1624746131
121,caceres,39.522,-6.3748,70.81,34,52,9.37,ES,1624746174
122,rio grande,-32.035,-52.0986,58.95,99,100,8.12,BR,1624746174
123,klyuchi,52.2667,79.1667,58.89,63,100,5.5,RU,1624746174
124,san patricio,28.017,-97.5169,93.61,59,78,16.46,US,1624746175
125,kavieng,-2.5744,150.7967,82.22,74,100,5.28,PG,1624746175
126,katsuura,35.1333,140.3,77.11,86,100,9.51,JP,1624746176
127,moranbah,-22.0016,148.0466,54.66,79,91,12.95,AU,1624746176
128,khatanga,71.9667,102.5,48.97,48,72,7.67,RU,1624746176
129,vaini,-21.2,-175.2,75.36,69,20,10.36,TO,1624746177
130,aklavik,68.2191,-135.0107,67.03,63,75,13.8,CA,1624746177
131,flin flon,54.7682,-101.865,78.64,44,75,6.91,CA,1624746177
132,kavaratti,10.5669,72.642,81.99,75,79,15.75,IN,1624746178
133,manaure,11.7751,-72.4445,83.43,73,100,7.34,CO,1624746178
134,aloleng,16.1307,119.7824,81.12,80,49,3.4,PH,1624746179
